Cantor compose-mode Russian — Compose is Scroll Lock.

  а  U+0430   Compose q a
  А  U+0410   Compose Q a
  б  U+0431   Compose q b
  Б  U+0411   Compose Q b
  в  U+0432   Compose q c
  В  U+0412   Compose Q c
  г  U+0433   Compose q d
  Г  U+0413   Compose Q d
  д  U+0434   Compose q e
  Д  U+0414   Compose Q e
  е  U+0435   Compose q f
  Е  U+0415   Compose Q f
  ё  U+0451   Compose q g
  Ё  U+0401   Compose Q g
  ж  U+0436   Compose q h
  Ж  U+0416   Compose Q h
  з  U+0437   Compose q i
  З  U+0417   Compose Q i
  и  U+0438   Compose q j
  И  U+0418   Compose Q j
  й  U+0439   Compose q k
  Й  U+0419   Compose Q k
  к  U+043A   Compose q l
  К  U+041A   Compose Q l
  л  U+043B   Compose q m
  Л  U+041B   Compose Q m
  м  U+043C   Compose q n
  М  U+041C   Compose Q n
  н  U+043D   Compose q o
  Н  U+041D   Compose Q o
  о  U+043E   Compose q p
  О  U+041E   Compose Q p
  п  U+043F   Compose q q
  П  U+041F   Compose Q q
  р  U+0440   Compose q r
  Р  U+0420   Compose Q r
  с  U+0441   Compose q s
  С  U+0421   Compose Q s
  т  U+0442   Compose q t
  Т  U+0422   Compose Q t
  у  U+0443   Compose q u
  У  U+0423   Compose Q u
  ф  U+0444   Compose q v
  Ф  U+0424   Compose Q v
  х  U+0445   Compose q w
  Х  U+0425   Compose Q w
  ц  U+0446   Compose q x
  Ц  U+0426   Compose Q x
  ч  U+0447   Compose q y
  Ч  U+0427   Compose Q y
  ш  U+0448   Compose q z
  Ш  U+0428   Compose Q z
  щ  U+0449   Compose q 0
  Щ  U+0429   Compose Q 0
  ы  U+044B   Compose q 1
  Ы  U+042B   Compose Q 1
  ь  U+044C   Compose q 2
  Ь  U+042C   Compose Q 2
  ъ  U+044A   Compose q 3
  Ъ  U+042A   Compose Q 3
  э  U+044D   Compose q 4
  Э  U+042D   Compose Q 4
  ю  U+044E   Compose q 5
  Ю  U+042E   Compose Q 5
  я  U+044F   Compose q 6
  Я  U+042F   Compose Q 6
  —  U+2014   Compose q 7
  №  U+2116   Compose q 8
  §  U+00A7   Compose q 9
  «  U+00AB   Compose q [
  »  U+00BB   Compose q ]
  ₺  U+20BA   Compose $ l
  ₽  U+20BD   Compose $ r
  €  U+20AC   Compose $ e
  🌷  U+1F337   Compose % t
  🌹  U+1F339   Compose % r
  🌸  U+1F338   Compose % c
  🌺  U+1F33A   Compose % h
  🌻  U+1F33B   Compose % s
  🌼  U+1F33C   Compose % d
  👍  U+1F44D   Compose % u
  👌  U+1F44C   Compose % o
  🤔  U+1F914   Compose % k
  🧐  U+1F9D0   Compose % m
  🤝  U+1F91D   Compose % n
